id,name,features
75487,P***** K******** H****,1|Bandung|Hotel|Lembang
76343,B*** O***** P**********,3|Pangandaran|Hotel|Pangandaran
78545,F******** R******,3|Rembang|Hotel|Rembang
83156,H******** G**** H****,2|Bali|Hotel|Ubud
81035,S******** S******* J*******,2|Bali|Bed & breakfast|Bali
74567,V**** J****** H****,2|Bogor|Hotel|Cisarua
73070,S** I** R***** J******,2|Tangerang|Guest House|Ciputat Timur
78214,R******* A******** n*** E*** T*** C*******,2|Solo City|Hotel|Sukoharjo
78262,O** 2*** D*****,2|Solo City|Hotel|Solo
80820,K**** K**** C***** V****,4|Bali|Villa|Canggu
85701,R******* P*** n*** T******** K****** D** m*****,3|Manado|Hotel|Mapanget
82563,J******* C***** P****** a** S** B***,4|Bali|Resort|JImbaran
78243,R******* S****** @ C******* 2,2|Solo City|Hotel|Karanganyar
85285,R******* n*** M******** W******** P***,2|Palu|Hotel|Palu
73296,H**** D*******,3|Jakarta|Hotel|Blok M - South Jakarta
80677,V******** L*****,5|Bali|Villa|Lovina
75789,A*** T****** P***** M***** 72 B*******,0|Belitung|Hotel|Belitung
72812,A******** R*** By Z***,3|Tangerang|Apartment|Neglasari
78947,G**** R***** G********* R********* n*** J**** P*** 2 B***,2|Malang|Hotel|Karang Ploso
74274,C********* O 6 G**** P***** K********,2|Jakarta|Hotel|Kemayoran - Central Jakarta
69703,H**** G******,0|Banda Aceh|Hotel|Banda Aceh
81336,B***** V****** S*******,4|Bali|Villa|Seminyak
71290,P*** B H****,2|Padang|Hotel|Padang
73586,R******* n*** G**** M*** P**** 2,2|Jakarta|Guest House|Harmoni / Gajah Mada / Glodok - Central Jakarta
75688,H**** B**** J*****,3|Bandung|Hotel|Dago
85155,D***** H**** M*******,3|Makassar|Hotel|Biring Kanaya
74388,H***** MT H****** C*****,4|Jakarta|Hotel|cawang
71077,A*** H**** by C******,3|Medan|Hotel|Medan
74758,V**** B**** D**** L** 13,4|Cipanas|Villa|Cipanas
78108,P**** D***** R*****,4|Yogyakarta|Hotel|Sleman
73036,R******** A******** G**** L*** V*** C****** - N******** R**** T**** E.,2|Tangerang|Hotel|Ciputat
84931,R******* P*** n*** P***** L*****,3|Makassar|Hotel|Makassar
78152,H**** A**** By Z***,1|Klaten|Hotel|Klaten
69621,S**** T****** R*****,3|Bali|Hotel|Denpasar
78119,S*** ON 3*** Z***** 2 S******,2|Salatiga|Hotel|Salatiga
80795,T** E*** B***,5|Bali|Bed & breakfast|Bali
77005,L****** H**** Y*********,2|Yogyakarta|Hotel|Jetis
