id,name,features
79962,O** 2*** Az Z**** R******** S******,2|Surabaya|Bed & breakfast|Gunungsari
80588,O** 2*** A**** H*******,2|Banjarbaru|Hotel|Banjarbaru Utara
82936,P*** B**** R***** a** S**,3|Bali|Hotel|Ubud
74462,R******* S****** P*** n*** T**** S***** C******,3|Depok|Hotel|Margonda
72460,S*** B********** L******,3|Bandar Lampung|Hotel|Tanjung Karang
72022,P** B****,4|Batam|Hotel|Batam Center
73354,S***** I** S********* B****,2|Bogor|Hotel|Babakan
84600,d*********** B*********,3|Balikpapan|Hotel|Damai
83260,U*** T******* G*****,3|Bali|Hotel|Ubud
74357,F******** P** C********,3|Jakarta|Hotel|Cililitan
75625,R******* n*** S****** D*** 2,2|Bandung|Hotel|Bandung
82920,F*** S****** R****** B*** at S****,5|Bali|Hotel|Ubud
82979,V**** C***** M**,4|Bali|Villa|Denpasar
69643,S**** G***** H****,0|Asahan|Hotel|Asahan
83079,A** B**** I** U***,2|Bali|Hotel|Denpasar
75690,T** R**** D***,3|Bandung|Hotel|Dago
80960,O** 3*** K***** G**** H****,2|Bali|Hotel|Bali
81768,Z** P****** P**** 2 L*****,0|Bali|Hotel|Legian
79658,B*** H**** K********* S*******,2|Surabaya|Hotel|Tegalsari
83450,S***** B*** U*** G**** H****,2|Bali|Guest House|Ubud
76100,R******* S****** @ K******* G**** H****,2|Majalengka|Hotel|Majalengka
74043,R******** A******** M******* R******** 2 - P****** R***,2|Depok|Hotel|beji
77546,R******* @ M******* R******** Y*********,1|Yogyakarta|Hotel|Sleman
79964,R******* @ P***** C*****,1|Surabaya|Hotel|Rungkut
80149,B***** B**** R*****,0|Probolinggo|Hotel|Probolinggo
75883,O** 3** H**** M*****,2|Belitung|Hostel/Backpacker accommodation|Tanjung Pandan
81330,C****** B*** V*****,5|Bali|Villa|Denpasar
85647,T** H**** M*****,3|Manado|Hotel|Mahakeret Timur
73439,K****** J******,1|Jakarta|Hotel|Jakarta
75365,B**** V******** H****,3|Bandung|Hotel|Lembang
71816,R******* P*** @ T****** U***** B****,3|Batam|Hotel|Batu Aji
72598,N***** V**** U*** A****,3|Anyer|Villa|Anyer
83686,K******* at K****** B****,5|Bali|Hotel|Gianyar
77441,A*** U********* B****** 71 Y*********,0|Yogyakarta|Hotel|Yogyakarta
73067,O** 9**** T** H*** S********,2|Jakarta|Bed & breakfast|West Jakarta
80737,S***** P***** P*****,5|Bali|Hotel|Bali
74364,B***** H**** J******,0|Jakarta|Hotel|Jakarta
79174,F**** O** B******* B** M*****,2|Malang|Hotel|Malang city
77593,R******* S****** n*** A******** Y********* 2,2|Yogyakarta|Guest House|Bantul
85490,T** O** H**** G********,2|Gorontalo|Hotel|Sipatana
78140,H**** K******* D**** R*********,2|Yogyakarta|Hotel|Gunung Kidul
79611,H****** I** E****** S******* C**********,3|Surabaya|Hotel|Surabaya City Center
83097,S***** V***** A** S***** S****,4|Bali|Resort|Sanur
76281,S******** G**** H**** S****** R*********,1|Cirebon|Hotel|Siliwangi
81080,B******* J******* By Z***,1|Bali|Villa|JImbaran
85462,H**** G***** I**,0|Baubau|Hotel|Baubau
85319,F****** H******* P*** R*********,2|Palu|Hotel|Palu
80611,V**** D*******,4|Bali|Villa|Denpasar
83803,K***** B******* H**** L********,3|Bali|Hotel|Nusa Lembongan
70856,R******* n*** H***** P**** P****** M****,2|Medan|Guest House|Medan Baru
75672,J******* G********* By Z***,3|Bandung|Bed & breakfast|Bandung
74220,O** 5** M*** R********,2|Jakarta|Hotel|Cipete - South Jakarta
74283,A*** T**** U**** J******,0|Jakarta|Hotel|Jakarta
82002,A**** V*****,3|Bali|Villa|Denpasar
78997,H**** Y** C***** (***** Y** C***** K********,4|Malang|Hotel|Malang
84540,G*** S******,5|Balikpapan|Hotel|Balikpapan City Center
83386,I*** B*** B**** G*****,3|Bali|Hotel|Sanur
80440,M******** D****** R*****,5|Bali|Hotel|Menjangan
83789,L******** S******** V*****,4|Bali|Villa|Denpasar
79932,O** 1*** P********* D**** II,2|Surabaya|Hotel|Tambaksari
78176,R******* S****** @ G**** M******* D****,2|Kudus|Hotel|jati
77562,D** H**** J****,3|Yogyakarta|Hotel|Sleman
79819,O** 3*** P***** M******* 1,2|Surabaya|Hotel|Surabaya
83115,A*** T****** C*******,2|Bali|Cottage|Denpasar
81010,C*** L*** V**** By Z***,1|Bali|Villa|badung
83404,S*** S**** R*****,3|Bali|Hotel|Sanur
79131,R******* @ H******* G******,1|Malang|Hotel|Malang city
81062,A*** B*** V****,3|Bali|Villa|Bali
75445,O** C********* O 22 H**** P**** B***,3|Bandung|Hotel|Andir
80899,T** L***** A**** V**** U******,4|Bali|Villa|Pecatu
73723,P***** T******,1|Jakarta|Hotel|Thamrin - Central Jakarta
