id,name,features
69784,H**** A**** B***,0|Biak|Hotel|Biak
69785,K******* I**,1|Biak|Hotel|Biak
69786,K***** G*****,0|BIMA|Hotel|BIMA
69787,K**** H****,0|BIMA|Hotel|BIMA
69788,W**** P***** T****** U***,0|Bintan|Hotel|Bintan
69789,C****** R***** T****** P*****,0|Bintan|Hotel|Bintan
69790,P***** H**** T****** U***,0|Bintan|Hotel|Bintan
69791,H**** B***** F*****,2|Bitung|Hotel|Bitung
69792,P***** F***** B*****,0|Blitar|Hotel|Blitar
69793,H**** K****** B****,0|Blora|Hotel|Blora
69794,H**** S******,0|Blora|Hotel|Blora
69795,M*** B****** S**** H****,0|Blora|Hotel|Blora
69796,P**** M******* R*****,0|Bogor|Hotel|Bogor
69797,V**** D****,0|Bogor|Hotel|Bogor
69798,C*** de N***** C********,0|Bogor|Hotel|Bogor
69799,D**** H**** C********,0|Bogor|Hotel|Bogor
69800,V**** A*** N*******,0|Bogor|Hotel|Bogor
69801,H**** L*****,2|Bojonegoro|Hotel|Bojonegoro
69802,G**** P**** B********,2|Bondowoso|Hotel|Bondowoso
69803,T** N***** H**** & C********** W********,0|Bone|Hotel|Bone
69804,G**** R***** H****,0|Bontang|Hotel|Bontang
69805,G**** E****** H****,0|Bontang|Hotel|Bontang
69806,T**** S**** H****,0|Bontang|Hotel|Bontang
69807,D** H**** B*******,0|Boyolali|Hotel|Boyolali
69808,A******** H**** B******,0|Brebes|Hotel|Brebes
69809,G**** D*** H**** B******,0|Brebes|Hotel|Brebes
69810,G**** D*** H**** B*****,3|Brebes|Hotel|Brebes
69811,R**** D**** H****,2|Bukittinggi|Hotel|Bukittinggi
69812,P******* I***** B*** H****,0|Bukittinggi|Hotel|Bukittinggi
69813,G**** B**** H**** B**********,0|Bukittinggi|Hotel|Bukittinggi
69814,H**** A**** 2 B********,0|Bulukumba|Hotel|Bulukumba
69815,H**** A***,2|Bulukumba|Hotel|Bulukumba
69816,A*** B********,2|Bulukumba|Hotel|Bulukumba
69817,S*** R***** B*** B****,0|Bulukumba|Hotel|Bira
69818,W***** P*******,0|Bulukumba|Hotel|Bulukumba
69819,B****** B*******,0|Bulukumba|Hotel|Bulukumba
69820,W**** B*** I****,2|Bulukumba|Hotel|Bulukumba
69821,H***** M***** R***** B***,0|Bulukumba|Hotel|Bulukumba
69822,A*** H****,2|Buol|Hotel|Biau
69823,a*** h**** s*******,2|Buol|Hotel|Biau
69824,TW H**** C******,0|Cianjur|Hotel|Cianjur
69825,V** H**** C******,0|Cianjur|Hotel|Cianjur
69826,B***** H**** C******,0|Cianjur|Hotel|Cianjur
69827,H**** G**** B*****,0|Cianjur|Hotel|Cianjur
69828,T** G**** H***,0|Cianjur|Hotel|Cianjur
69829,H**** H*****,0|Cilacap|Hotel|Cilacap
69830,H**** B********,0|Cilacap|Hotel|Cilacap
69831,P******* H****,2|Cilacap|Hotel|Cilacap
69832,S***** R*****,0|Cisarua|Hotel|Cisarua
69833,H**** A****,0|Dompu|Hotel|Dompu
69834,H**** A********,0|Dompu|Hotel|Dompu
69835,H**** W***** N**** P*********,3|Dumai|Hotel|Dumai
69836,A***** H****,0|Duri|Hotel|Duri
69837,R***** H****,4|East Java|Hotel|East Java
69838,F**** H**** D** G*****,0|Ende City|Hotel|Ende City
69839,H**** M*******,0|Flores|Hotel|Atambua
69840,O****** H**** L******,0|Flores|Hotel|Flores
69841,H**** S****,0|Flores|Hotel|Atambua
69842,H**** K*** S***,0|Flores|Hotel|Atambua
69843,H**** S***** H***,0|Flores|Hotel|Flores
69844,V******* H****,0|Garut|Hotel|Pameungpeuk
69845,A****** B******* R***** U***,0|Gianyar|Hotel|Gianyar
69846,S****** H**** G********,0|Gorontalo|Hotel|Gorontalo
69847,H**** E******** G********,0|Gorontalo|Hotel|Gorontalo
69848,M******* E** R*****,3|Gorontalo|Hotel|Gorontalo
69849,M***** B**** R*****,3|Gorontalo|Hotel|Gorontalo
69850,I**** H****,2|Gorontalo|Hotel|Gorontalo
69851,S***** H****,0|Gunungsitoli|Hotel|Gunungsitoli
69852,z****** H****,3|Halmahera|Hotel|Halmahera
69853,H**** H********,0|Indramayu|Hotel|Indramayu
69854,G****** H****,0|Indramayu|Hotel|Indramayu
69855,V** H**** I********,0|Indramayu|Hotel|Indramayu
69856,d***** G**** H****,0|Indramayu|Hotel|Indramayu
69857,D***** H******* S*******,0|Indramayu|Hotel|Indramayu
69858,H**** P**** I********,3|Indramayu|Hotel|Karanganyar
69859,W*** P****** 2,0|Indramayu|Hotel|Indramayu
69860,G****** H**** I********,0|Indramayu|Hotel|Jatibarang
69861,A*** B*** M M****** 18 J******,0|Jakarta|Hotel|Jakarta
69862,H**** N*******,0|Jakarta|Hotel|Jakarta
69863,i*** J****** R**** S****,4|Jakarta|Hotel|Jakarta
69864,J****** M*****,0|Jakarta|Hotel|Jakarta
69865,Ra I** K*****,3|Jakarta|Hotel|Jakarta
69866,A********* S******* P***,0|Jakarta|Hotel|Jakarta
69867,D**** M****** S******,0|Jakarta|Hotel|Jakarta
69868,S***** R***** T******* I*****,0|Jakarta|Hotel|Jakarta
69869,G***** H**** S*********,2|Jambi|Hotel|Jambi
69870,H**** M**** P****,0|Jambi|Hotel|Jambi
69871,H**** K******,0|Jambi|Hotel|Jambi
69872,F***** I** H****,0|Jambi|Hotel|Jambi
69873,H**** J*** W*****,0|Jambi|Hotel|Jambi
69874,F***** H**** K**** T******,0|Jambi|Hotel|Jambi
69875,H**** P********** I*********,0|Jambi|Hotel|Jambi
69876,G**** K****** H****,0|Jambi|Hotel|Jambi
69877,M******* H****,2|Jambi|Hotel|Jambi
69878,H**** P******* I********,2|Jambi|Hotel|Jambi
69879,G**** A********,0|Jambi|Hotel|Jambi
69880,P********* G*******,0|Jambi|Hotel|Jambi
69881,H**** P******,0|Jambi|Hotel|Jambi
69882,H**** M********** B****** (***** M******* B******,2|Jambi|Hotel|Jambi
69883,H**** B***** B****,0|Jambi|Hotel|Jambi
69884,M****** S**** H****,2|Jambi|Hotel|Jambi
69885,JW N****** H**** & C********,3|Java|Hotel|Java
69886,J*** P******* R*****,0|Jepara|Hotel|Jepara
69887,M***** S****** A********* J*****,3|Jepara|Hotel|Jepara
69888,d******* P******* J*****,0|Jepara|Hotel|Jepara
69889,H**** F****,0|Jombang|Hotel|Jombang
69890,N** F****** H****,0|Kalimantan|Hotel|Kalimantan
69891,A******* H****,4|Kalimantan|Hotel|Kalimantan
69892,H**** G******,0|Kalimantan|Hotel|Kalimantan
69893,H**** P**** M***,0|Kalimantan|Hotel|Kalimantan
69894,H**** M**** K******,1|Kalimantan|Hotel|Kalimantan
69895,H**** J****** B***,0|Kalimantan|Hotel|Kalimantan
69896,H**** M****** A***,0|Kalimantan|Hotel|Kalimantan
69897,H**** M******,3|Kalimantan|Hotel|Kalimantan
69898,T**** W** H****,0|Kalimantan|Hotel|Kalimantan
69899,A***** H****,0|Kalimantan|Hotel|Kalimantan
69900,S**** H**** P********,0|Kalimantan|Hotel|Kalimantan
69901,G**** H**** B*** L****,0|Kalimantan|Hotel|Kalimantan
69902,P********* M**** P*******,3|Kalimantan|Hotel|Kalimantan
69903,L***** K**** B****,0|Kalimantan|Hotel|Kalimantan
69904,My H*** S******,0|Kalimantan|Hotel|Kalimantan
69905,R**** S**** H****,0|Kalimantan|Hotel|Kalimantan
69906,G**** H**** N*****,0|Kalimantan|Hotel|Kalimantan
69907,C**** H****,0|Kalimantan|Hotel|Kalimantan
69908,B***** E****** H****,0|Kalimantan|Hotel|Kalimantan
69909,H**** L**** I**,3|Kalimantan|Hotel|Kalimantan
69910,P****** H**** S******,2|Kalimantan|Hotel|Kalimantan
69911,H**** G**** S****** S*******,0|Kalimantan|Hotel|Kalimantan
69912,P********* D**** H****,0|Kalimantan|Hotel|Kalimantan
69913,B**** H*****,0|Kalimantan|Hotel|Kalimantan
69914,M***** R***** H****,0|Kalimantan|Hotel|Kalimantan
69915,M******* M****** R*****,0|Kalimantan|Hotel|Kalimantan
69916,K******** R***** B*********,0|Kalimantan|Hotel|Kalimantan
69917,P********* Q***** K********,0|Kalimantan|Hotel|Kalimantan
69918,H**** V**** B*****,0|Kalimantan|Hotel|Kalimantan
69919,H**** GS S****** S******,3|Kalimantan|Hotel|Kalimantan
69920,H**** E****** S******,0|Kalimantan|Hotel|Kalimantan
69921,H**** S**** A*******,0|Kalimantan|Hotel|Kalimantan
69922,H**** D**** I******** B******,0|Kalimantan|Hotel|Kalimantan
69923,H**** S**** G**** H**** S******* B******,0|Kalimantan|Hotel|Kalimantan
69924,H**** M****** B***,0|Kalimantan|Hotel|Kalimantan
69925,M***** H****,0|Kalimantan|Hotel|Kalimantan
69926,W**** MG,4|Kalimantan|Hotel|Kalimantan
69927,H**** B*** P**** T**** G*****,4|Kalimantan|Hotel|Kalimantan
69928,H**** Q I** B******,0|Kalimantan|Hotel|Kalimantan
69929,H**** R**** B*********,0|Kalimantan|Hotel|Kalimantan
69930,H***** H**** S******,0|Kalimantan|Hotel|Kalimantan
69931,H**** F**** F*** S***** I**,0|Kalimantan|Hotel|Kalimantan
69932,K****** G**** H****,1|Kalimantan|Hotel|Kalimantan
69933,H**** Q I*** B******,0|Kalimantan|Hotel|Kalimantan
69934,G**** L***** H****,0|Kalimantan|Hotel|Kalimantan
69935,H**** S***** I****,0|Kalimantan|Hotel|Kalimantan
69936,G***** G*********,0|Kalimantan|Hotel|Kalimantan
69937,H**** MC,0|Kalimantan|Hotel|Kalimantan
69938,J***** S****** H****,0|Kalimantan|Hotel|Kalimantan
69939,H**** P**** R*****,3|Kalimantan|Hotel|Kalimantan
69940,T** G***** P*****,0|Kalimantan|Hotel|Kalimantan
69941,H**** R**** V******* S*******,0|Kalimantan|Hotel|Kalimantan
69942,A***** H**** M**** T****,3|Kalimantan|Hotel|Kalimantan
69943,H**** D****,0|Kalimantan|Hotel|Kalimantan
69944,N*** H*******,4|Kalimantan|Hotel|Kalimantan
69945,T**** H****,0|Kalimantan|Hotel|Kalimantan
69946,H**** L*** G***** B*********,0|Kalimantan|Hotel|Kalimantan
69947,H**** S***** S******,0|Kalimantan|Hotel|Kalimantan
69948,H**** A****** M*****,0|Kalimantan|Hotel|Kalimantan
69949,H**** S**** M****,0|Kalimantan|Hotel|Kalimantan
69950,P********* S**** 2 P****,0|Kalimantan|Hotel|Kalimantan
69951,H**** A*****,0|Kalimantan|Hotel|Kalimantan
69952,H**** M**** S*******,0|Kalimantan|Hotel|Kalimantan
69953,A***** H****,4|Kalimantan|Hotel|Kalimantan
69954,H**** G**** R****,1|Kalimantan|Hotel|Kalimantan
69955,H**** A*****,0|Kalimantan|Hotel|Kalimantan
69956,H**** S*****,0|Kalimantan|Hotel|Kalimantan
69957,G**** S**** K*******,0|Kalimantan|Hotel|Kalimantan
69958,S***** H****,2|Kalimantan|Hotel|Kalimantan
69959,H**** D*****,0|Kalimantan|Hotel|Kalimantan
69960,L**** H****,0|Kalimantan|Hotel|Kalimantan
69961,H**** GH S****** S******,0|Kalimantan|Hotel|Kalimantan
69962,H**** S**** B********,0|Kalimantan|Hotel|Kalimantan
69963,H**** P******,3|Kalimantan|Hotel|Kalimantan
69964,J** H**** M**** T****,0|Kalimantan|Hotel|Kalimantan
69965,H**** L******* S***** D**** S****,0|Kalimantan|Hotel|Kalimantan
69966,H**** G**** S****,0|Kalimantan|Hotel|Kalimantan
