id,name,features
70943,R******* @ C** P****** M****,2|Medan|Bed & breakfast|Medan
70946,R**** S**** C*******,4|Medan|Aparthotel|Medan Maimun
70992,G***** C****,1|Medan|Hotel|Medan
71000,O** 9**** D******* G********* S******,2|Medan|Bed & breakfast|Medan
71003,R******* @ J**** B******* K****** M**** 2,2|Medan|Hotel|Medan
71005,O** 6** R******** P*** H**** S******,3|Medan|Hotel|Medan
71018,A****** H**** M****,2|Medan|Hotel|Medan
71019,O** 2*** S****** H****** R********,2|Medan|Hotel|Medan
71023,H**** C*** I************ S** Y** S**,3|Medan|Hotel|Medan City Center
71026,G****** H****,2|Medan|Bed & breakfast|Medan
71035,R******* @ S***** P******* I** P******,1|Samosir|Hotel|Samosir
71044,O** 2*** R**** I**,2|Samosir|Hotel|Samosir
71046,G**** S*****,3|Medan|Hotel|Medan
71057,O** 2*** W***** H****,2|Samosir|Hotel|Samosir
71078,O** F******* 1*** A******** S********* M****,2|Medan|Hotel|Medan
71086,O** 3** E******** I**,2|Medan|Hotel|Medan
71096,S**** O** 9**** G******* R********,2|Medan|Bed & breakfast|Medan
71117,T** L***** H**** K******** M****,2|Medan|Bed & breakfast|Medan
71130,L***** J***** G********* S******,1|Samosir|Hotel|Samosir
71141,P********* R****,2|Samosir Island|Hotel|Simanindo
71160,T**** B****** R******** By Z***,3|Medan|Hotel|Kualanamu
71164,D**** T*** I************ C****** P******,3|Parapat|Resort|Parapat
71166,P**** L*******,2|Medan|Hotel|Medan
71172,O** 9**** H**** T*** S*****,2|Samosir|Bed & breakfast|Samosir
71187,R******* @ A**** V**** S*******,1|Pematang Siantar|Hotel|Parapat
71210,R******* n*** RS H****** P******* S******,2|Pematang Siantar|Hotel|Siantar
71243,O** 1*** H**** W*****,2|Tanjung Balai Karimun|Hotel|Tanjung Balai
71249,G**** H****,1|Medan|Hotel|Medan
71258,O** 2*** W**** P***** S******,2|Padang|Hostel/Backpacker accommodation|Batang Anai
71261,R******* S****** n*** M********** I************ A******,1|Padang|Hotel|Batang Anai
71308,O** 2*** K***** G***** G*********,2|Padang|Hotel|Painan
71319,B********* H****,1|Padang|Hotel|Padang Barat
